"Start date","Google End date","Campaign name UAC-Univest-Pro-Activated-PRO-010823","Sum of spends","Sum of signups","Sum of p0","Sum of p1","Sum of d0_trial","Sum of d0","Sum of d0_d6","Sum of new_user_count_by_trial","Sum of d0_revenue","Sum of d6_revenue","Sum of overall_revenue","Sum of d6_mandate_amount","Sum of total_trial","SU Cost","P0+P1","P0+P1%","Prio Cost","C/D0 Trial","Trial %","d0 CAC","d0%","D0 ROAS","d6 CAC","d6%","D6 CAC","D6 ROAS","D6 mandate ROAS","D6 non mandate roas","Real%","overall roas","D6 Mandate Revenue/ D0 Trial","Revenue/Trial","","Google camapign list","Meta campaign list","Meta adset list","Google Adgroups list","","Spends","Signups","P0P1","D0","D6","D0 Trials","D6 Rev","Overall Rev"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AAA_Android_Gujarat-Only_Pro-Sub_190326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AAA_Android_Aud-Network-Only_Pro-Sub_220326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AAA_Android_Age-55+_Pro-Sub_190326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AAA_Android_Maharashtra-Only_Pro-Sub_190326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Bid-Cap_Pro-Sub_180326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_200-Ads_Pro-Sub_191125_Adset2","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Tamannah-2-Inf-Test_Pro-Sub_170326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Ai-Bot-Cluster-Test_V1_Pro-Sub_090326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Static-Market-Crash-Test_Pro-Sub_140326","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Khadi-Car-Zung-Test_Pro-Sub_090326","","","","","","","","","",""
